[('W', 0, 0, 'D', 0), 'NONE']
[('C', 2, 1, 'R', 100), 'HIT']
[('C', 2, 2, 'D', 0), 'NONE']
[('C', 2, 2, 'D', 25), 'HIT']
[('C', 2, 2, 'D', 50), 'HIT']
[('C', 2, 2, 'D', 75), 'HIT']
[('C', 2, 2, 'D', 100), 'HIT']
[('C', 2, 2, 'R', 0), 'NONE']
[('C', 2, 2, 'R', 25), 'SHOOT']
[('C', 2, 2, 'R', 50), 'HIT']
[('C', 2, 2, 'R', 75), 'HIT']
[('C', 2, 2, 'R', 100), 'HIT']
[('C', 2, 3, 'D', 0), 'NONE']
[('C', 2, 3, 'D', 25), 'HIT']
[('C', 2, 3, 'D', 50), 'HIT']
[('C', 2, 3, 'D', 75), 'HIT']
[('C', 2, 3, 'D', 100), 'STAY']
[('C', 2, 3, 'R', 0), 'NONE']
[('C', 2, 3, 'R', 25), 'SHOOT']
[('C', 2, 3, 'R', 50), 'HIT']
[('C', 2, 3, 'R', 75), 'HIT']
[('C', 2, 3, 'R', 100), 'STAY']
